Transaction_ID,Transaction_Date,Terminal_ID,Receipt_Number,Clerk,Sales_Total,Tax,Sales_Ex_Tax
,Large_Chips,12,1,6.75,6.14,7.50,0.75
,Gravy_PC,336,1,0.90,0.82,1.00,0.10
,Reg_Pork_Sub,76,1,8.10,7.36,9.00,0.90
,600ML_Sunkist,279,1,4.41,4.01,4.90,0.49
,DISCOUNT,0,,2.99,,,
,CASH,1,,50.00,,,
,CHANGE,9996,,23.10,,,
,CASH_ROUNDING,8010,,-0.01,,,
12383517,16052022_121718,211,28,SAM,18.00,1.63,16.37
,Description,PLU,Quantity,Sales_Inc,Sales_Ex,Original,Item_Disc.
,Regular_Sweet_Potato_Fry,905,1,7.50,6.82,7.50,0.00
,Gravy_PC,336,1,1.00,0.91,1.00,0.00
,PF_Pork_Toastie,1128,1,9.50,8.64,9.50,0.00
,EFTPOS,2,,18.00,,,
12383531,16052022_121947,211,29,ROB,41.40,3.77,37.63
,Description,PLU,Quantity,Sales_Inc,Sales_Ex,Original,Item_Disc.
,Large_Chips,12,1,7.50,6.82,7.50,0.00
,HD_Gravy,1230,1,1.50,1.36,1.50,0.00
,HD_Beef_Carvery_Burger,1232,1,12.00,10.91,12.00,0.00
,Gravy,857,1,0.00,0.00,0.00,0.00
,HD_Pork_Carvery_Burger,1233,1,12.00,10.91,12.00,0.00
,+_Cheese,352,1,1.50,1.36,1.50,0.00
,+_Egg,360,1,2.00,1.82,2.00,0.00
,Gravy,857,1,0.00,0.00,0.00,0.00
,600ML_Solo,280,1,4.90,4.45,4.90,0.00
,UBER_EATS,15,,41.40,,,
12383536,16052022_122051,211,30,RENSCHE,14.40,1.31,13.09
,Description,PLU,Quantity,Sales_Inc,Sales_Ex,Original,Item_Disc.
,Meaty_Pork_Sub,1322,1,14.40,13.09,14.40,0.00
,CASH,1,,5.00,,,
,EFTPOS,2,,9.40,,,
12383537,16052022_122112,212,35,SAM,11.70,1.06,10.64
,Description,PLU,Quantity,Sales_Inc,Sales_Ex,Original,Item_Disc.
,Tropical_Spud,178,1,11.70,10.64,11.70,0.00
,EFTPOS,2,,11.70,,,
12383552,16052022_122447,212,36,RENSCHE,20.90,1.90,19.00
