Transaction ID,Transaction Date,Terminal ID,,,Receipt Number,Clerk,Sales Total,Tax,Sales Ex Tax
,Sm Chip Meal,32,,,1,1.5,1.36,1.5,0
,600ML Solo,280,,,1,4.9,4.45,4.9,0
,EFTPOS,2,,,,38.4,,,
12383590,16/05/2022 12:32:58,211,,,34,SAM,34.8,3.17,31.63
,Description,PLU,,,Quantity,Sales Inc,Sales Ex,Original,Item Disc.
,Large Beef Meal,126,,,1,18.9,17.18,18.9,0
,Regular Beef Meal,125,,,1,15.9,14.45,15.9,0
,EFTPOS,2,,,,34.8,,,
12383594,16/05/2022 12:33:18,212,,,38,RENSCHE,10,0.91,9.09
,Description,PLU,,,Quantity,Sales Inc,Sales Ex,Original,Item Disc.
,PF Brisket & Cheese Toastie,1127,,,1,10,9.09,10,0
,CASH,1,,,,20,,,
,CHANGE,9996,,,,10,,,
12383600,16/05/2022 12:34:36,212,,,39,RENSCHE,6.5,0.59,5.91
,Description,PLU,,,Quantity,Sales Inc,Sales Ex,Original,Item Disc.
,Regular Chips,11,,,1,5.5,5,5.5,0
,Gravy PC,336,,,1,1,0.91,1,0
,EFTPOS,2,,,,6.5,,,
12383608,16/05/2022 12:36:40,211,,,35,RENSCHE,16.5,1.5,15
,Description,PLU,,,Quantity,Sales Inc,Sales Ex,Original,Item Disc.
,Cheesy Bacon Spud,176,,,1,11,10,11,0
,Blue Bolt Gatorade,303,,,1,5.5,5,5.5,0
,EFTPOS,2,,,,16.5,,,
12383619,16/05/2022 12:38:45,211,,,36,SAM,11.7,1.06,10.64
,Description,PLU,,,Quantity,Sales Inc,Sales Ex,Original,Item Disc.
,Tropical Spud,178,,,1,11.7,10.64,11.7,0
,EFTPOS,2,,,,11.7,,,
12383629,16/05/2022 12:40:28,211,,,37,RENSCHE,27.9,2.54,25.36
,Description,PLU,,,Quantity,Sales Inc,Sales Ex,Original,Item Disc.
,Reg Beef Sub,70,,,1,9,8.18,9,0
,Large Chips,12,,,1,7.5,6.82,7.5,0
,Gravy PC,336,,,1,1,0.91,1,0
,Regular Chips,11,,,1,5.5,5,5.5,0
,600ML Pepsi,276,,,1,4.9,4.45,4.9,0
,EFTPOS,2,,,,27.9,,,
12383634,16/05/2022 12:41:10,212,,,40,ROB,21.9,1.99,19.91
,Description,PLU,,,Quantity,Sales Inc,Sales Ex,Original,Item Disc.
,Large Chips,12,,,1,7.5,6.82,7.5,0
,Gravy PC,336,,,1,1,0.91,1,0
,600ML Sunkist,279,,,1,4.9,4.45,4.9,0
,Large Gems,17,,,1,7.5,6.82,7.5,0
,Gravy PC,336,,,1,1,0.91,1,0
,CASH,1,,,,50,,,
,CHANGE,9996,,,,28.1,,,
12383661,16/05/2022 12:43:14,211,,,38,SAM,29.8,2.72,27.08
,Description,PLU,,,Quantity,Sales Inc,Sales Ex,Original,Item Disc.
